Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Jul 2025,KEN,16617000,Others,Mandera,current,2025-07-01,2025-09-30,all,959000,1.0
Jul 2025,KEN,16617000,Others,Mandera,current,2025-07-01,2025-09-30,3+,287700,0.3
Jul 2025,KEN,16617000,Others,Mandera,current,2025-07-01,2025-09-30,1,191800,0.2
Jul 2025,KEN,16617000,Others,Mandera,current,2025-07-01,2025-09-30,2,479500,0.5
Jul 2025,KEN,16617000,Others,Mandera,current,2025-07-01,2025-09-30,3,239750,0.25
Jul 2025,KEN,16617000,Others,Mandera,current,2025-07-01,2025-09-30,4,47950,0.05
Jul 2025,KEN,16617000,Others,Mandera,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Mandera,first projection,2025-10-01,2026-01-31,all,959000,1.0
Jul 2025,KEN,16617000,Others,Mandera,first projection,2025-10-01,2026-01-31,3+,335650,0.35
Jul 2025,KEN,16617000,Others,Mandera,first projection,2025-10-01,2026-01-31,1,95900,0.1
Jul 2025,KEN,16617000,Others,Mandera,first projection,2025-10-01,2026-01-31,2,527450,0.55
Jul 2025,KEN,16617000,Others,Mandera,first projection,2025-10-01,2026-01-31,3,287700,0.3
Jul 2025,KEN,16617000,Others,Mandera,first projection,2025-10-01,2026-01-31,4,47950,0.05
Jul 2025,KEN,16617000,Others,Mandera,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,TANA RIVER,current,2025-07-01,2025-09-30,all,353000,1.0
Jul 2025,KEN,16617000,Others,TANA RIVER,current,2025-07-01,2025-09-30,3+,52950,0.15
Jul 2025,KEN,16617000,Others,TANA RIVER,current,2025-07-01,2025-09-30,1,158850,0.45
Jul 2025,KEN,16617000,Others,TANA RIVER,current,2025-07-01,2025-09-30,2,141200,0.4
Jul 2025,KEN,16617000,Others,TANA RIVER,current,2025-07-01,2025-09-30,3,52950,0.15
Jul 2025,KEN,16617000,Others,TANA RIVER,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,TANA RIVER,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,TANA RIVER,first projection,2025-10-01,2026-01-31,all,353000,1.0
Jul 2025,KEN,16617000,Others,TANA RIVER,first projection,2025-10-01,2026-01-31,3+,88250,0.25
Jul 2025,KEN,16617000,Others,TANA RIVER,first projection,2025-10-01,2026-01-31,1,105900,0.3
Jul 2025,KEN,16617000,Others,TANA RIVER,first projection,2025-10-01,2026-01-31,2,158850,0.45
Jul 2025,KEN,16617000,Others,TANA RIVER,first projection,2025-10-01,2026-01-31,3,70600,0.2
Jul 2025,KEN,16617000,Others,TANA RIVER,first projection,2025-10-01,2026-01-31,4,17650,0.05
Jul 2025,KEN,16617000,Others,TANA RIVER,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Taita,current,2025-07-01,2025-09-30,all,364000,1.0
Jul 2025,KEN,16617000,Others,Taita,current,2025-07-01,2025-09-30,3+,0,0
Jul 2025,KEN,16617000,Others,Taita,current,2025-07-01,2025-09-30,1,291200,0.8
Jul 2025,KEN,16617000,Others,Taita,current,2025-07-01,2025-09-30,2,72800,0.2
Jul 2025,KEN,16617000,Others,Taita,current,2025-07-01,2025-09-30,3,0,0
Jul 2025,KEN,16617000,Others,Taita,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Taita,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Taita,first projection,2025-10-01,2026-01-31,all,364000,1.0
Jul 2025,KEN,16617000,Others,Taita,first projection,2025-10-01,2026-01-31,3+,0,0
Jul 2025,KEN,16617000,Others,Taita,first projection,2025-10-01,2026-01-31,1,273000,0.75
Jul 2025,KEN,16617000,Others,Taita,first projection,2025-10-01,2026-01-31,2,91000,0.25
Jul 2025,KEN,16617000,Others,Taita,first projection,2025-10-01,2026-01-31,3,0,0
Jul 2025,KEN,16617000,Others,Taita,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Taita,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Tharaka,current,2025-07-01,2025-09-30,all,178000,1.0
Jul 2025,KEN,16617000,Others,Tharaka,current,2025-07-01,2025-09-30,3+,0,0
Jul 2025,KEN,16617000,Others,Tharaka,current,2025-07-01,2025-09-30,1,142400,0.8
Jul 2025,KEN,16617000,Others,Tharaka,current,2025-07-01,2025-09-30,2,35600,0.2
Jul 2025,KEN,16617000,Others,Tharaka,current,2025-07-01,2025-09-30,3,0,0
Jul 2025,KEN,16617000,Others,Tharaka,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Tharaka,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Tharaka,first projection,2025-10-01,2026-01-31,all,178000,1.0
Jul 2025,KEN,16617000,Others,Tharaka,first projection,2025-10-01,2026-01-31,3+,0,0
Jul 2025,KEN,16617000,Others,Tharaka,first projection,2025-10-01,2026-01-31,1,133500,0.75
Jul 2025,KEN,16617000,Others,Tharaka,first projection,2025-10-01,2026-01-31,2,44500,0.25
Jul 2025,KEN,16617000,Others,Tharaka,first projection,2025-10-01,2026-01-31,3,0,0
Jul 2025,KEN,16617000,Others,Tharaka,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Tharaka,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,West pokot,current,2025-07-01,2025-09-30,all,676000,1.0
Jul 2025,KEN,16617000,Others,West pokot,current,2025-07-01,2025-09-30,3+,33800,0.05
Jul 2025,KEN,16617000,Others,West pokot,current,2025-07-01,2025-09-30,1,405600,0.6
Jul 2025,KEN,16617000,Others,West pokot,current,2025-07-01,2025-09-30,2,236599,0.35
Jul 2025,KEN,16617000,Others,West pokot,current,2025-07-01,2025-09-30,3,33800,0.05
Jul 2025,KEN,16617000,Others,West pokot,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,West pokot,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,West pokot,first projection,2025-10-01,2026-01-31,all,676000,1.0
Jul 2025,KEN,16617000,Others,West pokot,first projection,2025-10-01,2026-01-31,3+,33800,0.05
Jul 2025,KEN,16617000,Others,West pokot,first projection,2025-10-01,2026-01-31,1,371800,0.55
Jul 2025,KEN,16617000,Others,West pokot,first projection,2025-10-01,2026-01-31,2,270400,0.4
Jul 2025,KEN,16617000,Others,West pokot,first projection,2025-10-01,2026-01-31,3,33800,0.05
Jul 2025,KEN,16617000,Others,West pokot,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,West pokot,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Wajir,current,2025-07-01,2025-09-30,all,871000,1.0
Jul 2025,KEN,16617000,Others,Wajir,current,2025-07-01,2025-09-30,3+,130650,0.15
Jul 2025,KEN,16617000,Others,Wajir,current,2025-07-01,2025-09-30,1,217750,0.25
Jul 2025,KEN,16617000,Others,Wajir,current,2025-07-01,2025-09-30,2,522600,0.6
Jul 2025,KEN,16617000,Others,Wajir,current,2025-07-01,2025-09-30,3,87100,0.1
Jul 2025,KEN,16617000,Others,Wajir,current,2025-07-01,2025-09-30,4,43550,0.05
Jul 2025,KEN,16617000,Others,Wajir,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Wajir,first projection,2025-10-01,2026-01-31,all,871000,1.0
Jul 2025,KEN,16617000,Others,Wajir,first projection,2025-10-01,2026-01-31,3+,174200,0.2
Jul 2025,KEN,16617000,Others,Wajir,first projection,2025-10-01,2026-01-31,1,130650,0.15
Jul 2025,KEN,16617000,Others,Wajir,first projection,2025-10-01,2026-01-31,2,566150,0.65
Jul 2025,KEN,16617000,Others,Wajir,first projection,2025-10-01,2026-01-31,3,130650,0.15
Jul 2025,KEN,16617000,Others,Wajir,first projection,2025-10-01,2026-01-31,4,43550,0.05
Jul 2025,KEN,16617000,Others,Wajir,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Narok,current,2025-07-01,2025-09-30,all,1284000,1.0
Jul 2025,KEN,16617000,Others,Narok,current,2025-07-01,2025-09-30,3+,64200,0.05
Jul 2025,KEN,16617000,Others,Narok,current,2025-07-01,2025-09-30,1,1027200,0.8
Jul 2025,KEN,16617000,Others,Narok,current,2025-07-01,2025-09-30,2,192600,0.15
Jul 2025,KEN,16617000,Others,Narok,current,2025-07-01,2025-09-30,3,64200,0.05
Jul 2025,KEN,16617000,Others,Narok,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Narok,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Narok,first projection,2025-10-01,2026-01-31,all,1284000,1.0
Jul 2025,KEN,16617000,Others,Narok,first projection,2025-10-01,2026-01-31,3+,64200,0.05
Jul 2025,KEN,16617000,Others,Narok,first projection,2025-10-01,2026-01-31,1,963000,0.75
Jul 2025,KEN,16617000,Others,Narok,first projection,2025-10-01,2026-01-31,2,256800,0.2
Jul 2025,KEN,16617000,Others,Narok,first projection,2025-10-01,2026-01-31,3,64200,0.05
Jul 2025,KEN,16617000,Others,Narok,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Narok,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Garissa,current,2025-07-01,2025-09-30,all,927000,1.0
Jul 2025,KEN,16617000,Others,Garissa,current,2025-07-01,2025-09-30,3+,139050,0.15
Jul 2025,KEN,16617000,Others,Garissa,current,2025-07-01,2025-09-30,1,417150,0.45
Jul 2025,KEN,16617000,Others,Garissa,current,2025-07-01,2025-09-30,2,370800,0.4
Jul 2025,KEN,16617000,Others,Garissa,current,2025-07-01,2025-09-30,3,139050,0.15
Jul 2025,KEN,16617000,Others,Garissa,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Garissa,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Garissa,first projection,2025-10-01,2026-01-31,all,927000,1.0
Jul 2025,KEN,16617000,Others,Garissa,first projection,2025-10-01,2026-01-31,3+,185400,0.2
Jul 2025,KEN,16617000,Others,Garissa,first projection,2025-10-01,2026-01-31,1,324450,0.35
Jul 2025,KEN,16617000,Others,Garissa,first projection,2025-10-01,2026-01-31,2,417150,0.45
Jul 2025,KEN,16617000,Others,Garissa,first projection,2025-10-01,2026-01-31,3,185400,0.2
Jul 2025,KEN,16617000,Others,Garissa,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Garissa,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Kajiado,current,2025-07-01,2025-09-30,all,1268000,1.0
Jul 2025,KEN,16617000,Others,Kajiado,current,2025-07-01,2025-09-30,3+,63400,0.05
Jul 2025,KEN,16617000,Others,Kajiado,current,2025-07-01,2025-09-30,1,760800,0.6
Jul 2025,KEN,16617000,Others,Kajiado,current,2025-07-01,2025-09-30,2,443800,0.35
Jul 2025,KEN,16617000,Others,Kajiado,current,2025-07-01,2025-09-30,3,63400,0.05
Jul 2025,KEN,16617000,Others,Kajiado,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Kajiado,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Kajiado,first projection,2025-10-01,2026-01-31,all,1268000,1.0
Jul 2025,KEN,16617000,Others,Kajiado,first projection,2025-10-01,2026-01-31,3+,63400,0.05
Jul 2025,KEN,16617000,Others,Kajiado,first projection,2025-10-01,2026-01-31,1,697400,0.55
Jul 2025,KEN,16617000,Others,Kajiado,first projection,2025-10-01,2026-01-31,2,507200,0.4
Jul 2025,KEN,16617000,Others,Kajiado,first projection,2025-10-01,2026-01-31,3,63400,0.05
Jul 2025,KEN,16617000,Others,Kajiado,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Kajiado,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Kitui,current,2025-07-01,2025-09-30,all,1230000,1.0
Jul 2025,KEN,16617000,Others,Kitui,current,2025-07-01,2025-09-30,3+,123000,0.1
Jul 2025,KEN,16617000,Others,Kitui,current,2025-07-01,2025-09-30,1,553500,0.45
Jul 2025,KEN,16617000,Others,Kitui,current,2025-07-01,2025-09-30,2,553500,0.45
Jul 2025,KEN,16617000,Others,Kitui,current,2025-07-01,2025-09-30,3,123000,0.1
Jul 2025,KEN,16617000,Others,Kitui,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Kitui,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Kitui,first projection,2025-10-01,2026-01-31,all,1230000,1.0
Jul 2025,KEN,16617000,Others,Kitui,first projection,2025-10-01,2026-01-31,3+,184500,0.15
Jul 2025,KEN,16617000,Others,Kitui,first projection,2025-10-01,2026-01-31,1,430500,0.35
Jul 2025,KEN,16617000,Others,Kitui,first projection,2025-10-01,2026-01-31,2,615000,0.5
Jul 2025,KEN,16617000,Others,Kitui,first projection,2025-10-01,2026-01-31,3,184500,0.15
Jul 2025,KEN,16617000,Others,Kitui,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Kitui,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Lamu county,current,2025-07-01,2025-09-30,all,167000,1.0
Jul 2025,KEN,16617000,Others,Lamu county,current,2025-07-01,2025-09-30,3+,25050,0.15
Jul 2025,KEN,16617000,Others,Lamu county,current,2025-07-01,2025-09-30,1,41750,0.25
Jul 2025,KEN,16617000,Others,Lamu county,current,2025-07-01,2025-09-30,2,100200,0.6
Jul 2025,KEN,16617000,Others,Lamu county,current,2025-07-01,2025-09-30,3,25050,0.15
